year_month,folks,hop,sendi,voru,alls
2004-01,734,2,88,13,837
2004-02,743,4,80,11,838
2004-03,954,4,119,31,1108
2004-04,988,5,135,22,1150
2004-05,1197,7,140,24,1368
2004-06,1799,5,139,42,1985
2004-07,1227,14,143,27,1411
2004-08,779,6,112,13,910
2004-09,938,2,151,32,1123
2004-10,805,0,201,30,1036
2004-11,905,1,147,18,1071
2004-12,903,2,147,61,1113
2005-01,1314,13,117,50,1494
2005-02,1092,1,130,60,1283
2005-03,1167,3,153,60,1383
2005-04,1561,8,181,62,1812
2005-05,2011,9,173,52,2245
2005-06,2543,11,208,76,2838
2005-07,1807,13,199,53,2072
2005-08,1407,16,147,37,1607
2005-09,1373,6,232,42,1653
2005-10,1322,8,169,42,1541
2005-11,1336,9,182,45,1572
2005-12,1127,7,190,47,1371
2006-01,1479,0,188,32,1699
2006-02,1683,1,182,42,1908
2006-03,2171,2,302,59,2534
2006-04,1275,10,150,24,1459
2006-05,1765,3,283,55,2106
2006-06,2612,18,231,68,2929
2006-07,1394,3,165,40,1602
2006-08,1080,14,200,42,1336
2006-09,1139,2,213,23,1377
2006-10,965,0,199,45,1209
2006-11,947,0,206,38,1191
2006-12,618,3,165,62,848
2007-01,968,2,179,23,1172
2007-02,954,0,186,38,1178
2007-03,1182,1,201,35,1419
2007-04,1107,6,210,32,1355
2007-04,1107,7,211,30,1355
2007-05,1950,4,307,39,2300
2007-06,2327,3,315,48,2693
2007-07,1486,4,259,53,1802
2007-08,1360,5,272,46,1683
2007-09,1115,9,210,64,1398
2007-10,1279,7,239,57,1582
2007-11,1365,4,227,49,1645
2007-12,850,1,167,60,1078
2008-01,1432,2,204,42,1680
2008-02,1035,0,188,45,1268
2008-03,855,4,178,29,1066
2008-04,622,1,112,33,768
2008-05,1206,6,110,41,1363
2008-06,1991,12,129,21,2153
2008-07,578,6,79,30,693
2008-08,429,5,78,16,528
2008-09,584,1,97,18,700
2008-10,181,0,34,7,222
2008-11,74,0,10,3,87
2008-12,46,0,7,3,56
2009-01,170,0,34,8,212
2009-02,126,0,26,9,161
2009-03,76,0,14,7,97
2009-04,71,0,10,3,84
2009-05,186,1,11,1,199
2009-06,725,2,43,4,774
2009-07,385,0,30,2,417
2009-08,136,2,33,0,171
2009-09,95,1,46,1,143
2009-10,76,0,16,4,96
2009-11,63,1,25,3,92
2009-12,102,1,17,5,125
2010-01,88,2,21,3,114
2010-02,77,0,20,1,98
2010-03,156,3,16,1,176
2010-04,79,1,14,3,97
2010-05,390,2,18,1,411
2010-06,1135,1,30,5,1171
2010-07,435,4,16,3,458
2010-08,102,11,22,0,135
2010-09,110,0,19,1,130
2010-10,125,1,10,1,137
2010-11,184,0,12,3,199
2010-12,225,0,33,11,269
2011-01,197,1,21,0,219
2011-02,129,2,18,4,153
2011-03,208,2,14,1,225
2011-04,294,6,24,4,328
2011-05,1063,3,20,3,1089
2011-06,1163,8,44,6,1221
2011-07,444,1,15,7,467
2011-08,299,0,29,4,332
2011-09,283,6,21,6,316
2011-10,327,2,27,5,361
2011-11,374,0,37,5,416
2011-12,268,0,71,9,348
2012-01,320,2,19,2,343
2012-02,321,5,18,0,344
2012-03,430,3,29,4,466
2012-04,726,11,27,4,768
2012-05,1536,14,54,6,1610
2012-06,1516,12,58,15,1601
2012-07,574,6,33,16,629
2012-08,473,7,44,4,528
2012-09,470,3,36,9,518
2012-10,519,0,40,13,572
2012-11,496,5,43,4,548
2012-12,544,1,26,10,581
2013-01,460,5,37,5,507
2013-02,380,2,39,5,426
2013-03,493,6,33,5,537
2013-04,579,6,45,4,634
2013-05,1424,26,89,8,1547
2013-06,1468,7,54,10,1539
2013-07,635,8,51,16,710
2013-08,429,8,46,5,488
2013-09,350,2,61,6,419
2013-10,467,1,42,8,518
2013-11,299,1,35,9,344
2013-12,290,1,52,10,353
2014-01,539,5,63,9,616
2014-02,495,6,62,11,574
2014-03,537,5,74,10,626
2014-04,579,7,46,3,635
2014-05,2155,8,100,9,2272
2014-06,1965,15,91,9,2080
2014-07,743,7,58,17,825
2014-08,496,3,50,6,555
2014-09,553,3,57,10,623
2014-10,551,1,77,19,648
2014-11,413,3,57,12,485
2014-12,403,38,83,19,543
2015-01,680,4,83,11,778
2015-02,632,7,81,14,734
2015-03,977,10,108,17,1112
2015-04,1305,9,138,17,1469
2015-05,2614,23,144,21,2802
2015-06,2576,12,134,16,2738
2015-07,1163,14,100,26,1303
2015-08,842,9,75,19,945
2015-09,797,9,104,22,932
2015-10,808,2,90,18,918
2015-11,793,1,90,12,896
2015-12,842,7,105,25,979
2016-01,1219,11,124,12,1366
2016-02,1048,10,138,21,1217
2016-03,1338,14,156,31,1539
2016-04,2273,10,200,38,2521
2016-05,3392,40,229,28,3689
2016-06,2855,35,141,28,3059
2016-07,1612,48,126,25,1811
2016-08,1181,25,115,23,1344
2016-09,1027,4,118,13,1162
2016-10,908,5,116,19,1048
2016-11,955,17,121,28,1121
2016-12,706,5,126,21,858
2017-01,1232,8,158,24,1422
2017-02,1343,6,122,25,1496
2017-03,2058,6,244,26,2334
2017-04,2047,5,149,24,2225
2017-05,3832,33,290,55,4210
2017-06,3145,27,221,48,3441
2017-07,1830,17,140,36,2023
2017-08,1521,12,151,34,1718
2017-09,1227,6,140,25,1398
2017-10,1114,9,140,33,1296
2017-11,959,6,121,26,1112
2017-12,905,3,154,31,1093
2018-01,1624,3,182,31,1840
2018-02,1159,7,173,32,1371
2018-03,1834,20,194,25,2073
2018-04,1812,11,160,22,2005
2018-05,2858,10,185,48,3101
2018-06,2597,6,228,54,2885
2018-07,1687,7,141,41,1876
2018-08,1465,13,129,35,1642
2018-09,935,11,139,23,1108
2018-10,804,12,117,47,980
2018-11,721,6,160,38,925
2018-12,482,3,94,27,606
2019-01,847,14,131,26,1018
2019-02,801,8,94,29,932
2019-03,1074,7,156,25,1262
2019-04,1201,2,134,21,1358
2019-05,2013,4,148,32,2197
2019-06,1359,3,100,24,1486
2019-07,1025,0,87,39,1151
2019-08,803,9,100,24,936
2019-09,717,8,101,18,844
2019-10,661,13,109,23,806
2019-11,642,8,91,20,761
2019-12,587,3,112,23,725
2020-01,710,4,129,23,866
